Model,MSE,RMSE,MAE,R2
LSTM,0.061615826942426725,0.24822535515621028,0.19658927430290365,0.7437385886997168
GRU,0.0801888387215734,0.2831763385623407,0.23264240999872607,0.666493074895801
Hybrid LSTM-GRU,0.0977796212402984,0.3126973316808098,0.2645538472373554,0.5933326715089098
